29.9792000	3.2855333
30.0262795	3.2467713
30.0735072	3.2160327
30.1208836	3.1608368
30.1684095	3.1138051
30.2160857	3.0760284
30.2639128	3.0163810
30.3118915	2.9704402
30.3600226	2.9248513
30.4083068	2.8839251
30.4567448	2.8347292
30.5053374	2.7859556
30.5540852	2.7333990
30.6029892	2.6628427
30.6520499	2.6268079
30.7012682	2.5839462
30.7506448	2.5524862
30.8001804	2.5021818
30.8498759	2.4483760
30.8997321	2.3884295
30.9497496	2.3292219
30.9999294	2.2954569
31.0502721	2.2554105
31.1007786	2.2221558
31.1514497	2.1789774
31.2022861	2.1265842
31.2532888	2.0818216
31.3044584	2.0032023
31.3557959	1.9585987
31.4073021	1.9134673
31.4589777	1.8766231
31.5108237	1.8425766
31.5628408	1.8052574
31.6150300	1.7697857
31.6673920	1.7354283
31.7199277	1.6915051
31.7726381	1.6486962
31.8255240	1.5945385
31.8785861	1.5536915
31.9318256	1.5064398
31.9852431	1.4686983
32.0388397	1.4203470
32.0926162	1.3791744
32.1465735	1.3500370
32.2007126	1.3233804
32.2550343	1.2873280
32.3095396	1.2636309
32.3642295	1.2292994
32.4191048	1.1910828
32.4741665	1.1656051
32.5294155	1.1266808
32.5848529	1.0877565
32.6404795	1.0477707
32.6962964	1.0127389
32.7523045	0.9912924
32.8085049	0.9542879
32.8648984	0.9241123
32.9214861	0.8913913
32.9782691	0.8625999
33.0352482	0.8312630
33.0924246	0.8104304
33.1497993	0.7822782
33.2073732	0.7567301
33.2651475	0.7407186
33.3231232	0.7094345
33.3813013	0.6863145
33.4396829	0.6721329
33.4982690	0.6433121
33.5570608	0.6270542
33.6160594	0.5981865
33.6752658	0.5846500
33.7346810	0.5560932
33.7943064	0.5471725
33.8541428	0.5210613
33.9141916	0.5067389
33.9744537	0.4912728
34.0349304	0.4755428
34.0956228	0.4528979
34.1565320	0.4438892
34.2176592	0.4172854
34.2790056	0.4009044
34.3405723	0.3899250
34.4023607	0.3724531
34.4643717	0.3589401
34.5266067	0.3481895
34.5890669	0.3398318
34.6517535	0.3285533
34.7146677	0.3194567
34.7778108	0.3076504
34.8411841	0.3015097
34.9047886	0.2940845
34.9686259	0.2826829
35.0326971	0.2699968
35.0970035	0.2589295
35.1615464	0.2474399
35.2263271	0.2398212
35.2913470	0.2311996
35.3566074	0.2224373
35.4221095	0.2135342
35.4878548	0.2156984
35.5538446	0.2072351
35.6200803	0.1985607
35.6865633	0.1896752
35.7532948	0.1799979
35.8202764	0.1799979
35.8875095	0.1707253
35.9549954	0.1612415
36.0227356	0.1622620
36.0907315	0.1520217
36.1589847	0.1529718
36.2274964	0.1543970
36.2962683	0.1438400
36.3653018	0.1442798
36.4345984	0.1335468
36.5041595	0.1343562
36.5739868	0.1351656
36.6440818	0.1359749
36.7144459	0.1248900
36.7850808	0.1136644
36.8559880	0.1136644
36.9271691	0.1143330
36.9986257	0.1150016
37.0703593	0.1156702
37.1423717	0.1037935
37.2146644	0.1040926
37.2872390	0.1049900
37.3600973	0.1055882
37.4332408	0.1058873
37.5066713	0.0939578
37.5803905	0.0944857
37.6544000	0.0944857
37.7287016	0.0952775
37.8032970	0.0828025
37.8781880	0.0832600
37.9533763	0.0832600
38.0288637	0.0837175
38.1046519	0.0841750
38.1807428	0.0844037
38.2571383	0.0846324
38.3338401	0.0850899
38.4108500	0.0721927
38.4881700	0.0721927
38.5658019	0.0723862
38.6437476	0.0727733
38.7220090	0.0727733
38.8005881	0.0731604
38.8794867	0.0601752
38.9587068	0.0604920
39.0382505	0.0604920
39.1181196	0.0608087
39.1983162	0.0609670
39.2788423	0.0611254
39.3596999	0.0611254
39.4408911	0.0614421
39.5224180	0.0614421
39.6042826	0.0617588
39.6864871	0.0619172
39.7690335	0.0619172
39.8519240	0.0620755
39.9351608	0.0485273
40.0187461	0.0486505
40.1026819	0.0487736
40.1869706	0.0487736
40.2716143	0.0490200
40.3566154	0.0491431
40.4419760	0.0492663
40.5276985	0.0492663
40.6137852	0.0495126
40.7002384	0.0496358
40.7870604	0.0497589
40.8742537	0.0497589
40.9618205	0.0498821
41.0497634	0.0500053
41.1380846	0.0500053
41.2267868	0.0502516
41.3158723	0.0503748
41.4053436	0.0504979
41.4952033	0.0506211
41.5854538	0.0507443
41.6760978	0.0507443
41.7671379	0.0509906
41.8585765	0.0509906
41.9504164	0.0511138
42.0426602	0.0511138
42.1353105	0.0512369
42.2283701	0.0514833
42.3218416	0.0514833
42.4157279	0.0516064
42.5100316	0.0516064
42.6047556	0.0517296
42.6999027	0.0517296
42.7954758	0.0518528
42.8914776	0.0519759
42.9879111	0.0519759
43.0847792	0.0520991
43.1820848	0.0522223
43.2798310	0.0522223
43.3780207	0.0524686
43.4766569	0.0524686
43.5757427	0.0525918
43.6752812	0.0525918
43.7752755	0.0602456
43.8757287	0.0677763
43.9766440	0.0680930
44.0780246	0.0680930
44.1798737	0.0680930
44.2821945	0.0682514
44.3849905	0.0682514
44.4882647	0.0684098
44.5920207	0.0684098
44.6962618	0.0685681
44.8009914	0.0687265
44.9062129	0.0687265
45.0119299	0.0688848
45.1181458	0.0690432
45.2248641	0.0690432
45.3320885	0.0768906
45.4398226	0.0845797
45.5480699	0.0845797
45.6568342	0.0847732
45.7661192	0.0847732
45.8759286	0.0847732
45.9862662	0.0849667
46.0971358	0.0849667
46.2085414	0.0849667
46.3204867	0.0851603
46.4329757	0.0851603
46.5460124	0.0853538
46.6596009	0.0855474
46.7737450	0.0855474
46.8884491	0.0855474
47.0037170	0.1013302
47.1195531	0.1013302
